Date,Alberta Activity Index (January 1981 = 100)
1/1/1981,100
2/1/1981,99.4
3/1/1981,100.1
4/1/1981,101.5
5/1/1981,102.1
6/1/1981,100.9
7/1/1981,102.1
8/1/1981,101.3
9/1/1981,102.3
10/1/1981,101.7
11/1/1981,100.5
12/1/1981,99.9
1/1/1982,99.3
2/1/1982,100.2
3/1/1982,99.6
4/1/1982,99.1
5/1/1982,97.4
6/1/1982,97.8
7/1/1982,97
8/1/1982,96.7
9/1/1982,96.8
10/1/1982,96.2
11/1/1982,96.8
12/1/1982,96.8
1/1/1983,96.3
2/1/1983,96.3
3/1/1983,96.9
4/1/1983,97
5/1/1983,97.3
6/1/1983,98.2
7/1/1983,97.4
8/1/1983,99
9/1/1983,99
10/1/1983,99.1
11/1/1983,99.1
12/1/1983,99
1/1/1984,99.8
2/1/1984,100.2
3/1/1984,100
4/1/1984,99.5
5/1/1984,100.4
6/1/1984,101
7/1/1984,100.8
8/1/1984,101.2
9/1/1984,100.6
10/1/1984,102.5
11/1/1984,103.2
12/1/1984,102.9
1/1/1985,105.5
2/1/1985,104.7
3/1/1985,105.7
4/1/1985,106.3
5/1/1985,108.1
6/1/1985,107
7/1/1985,108.3
8/1/1985,109
9/1/1985,108.7
10/1/1985,109.9
11/1/1985,110.2
12/1/1985,111
1/1/1986,110
2/1/1986,109.2
3/1/1986,107.7
4/1/1986,107.7
5/1/1986,107.1
6/1/1986,107.2
7/1/1986,108
8/1/1986,107.1
9/1/1986,107.4
10/1/1986,107.2
11/1/1986,106.4
12/1/1986,107.5
1/1/1987,107.8
2/1/1987,107.8
3/1/1987,108.6
4/1/1987,109.8
5/1/1987,110.6
6/1/1987,110.7
7/1/1987,111
8/1/1987,111.4
9/1/1987,112.3
10/1/1987,114.2
11/1/1987,114
12/1/1987,114.7
1/1/1988,114.5
2/1/1988,117.2
3/1/1988,117.2
4/1/1988,116.2
5/1/1988,116.4
6/1/1988,117.9
7/1/1988,118.1
8/1/1988,118.4
9/1/1988,119.3
10/1/1988,119.2
11/1/1988,120
12/1/1988,120.5
1/1/1989,118.8
2/1/1989,120
3/1/1989,120
4/1/1989,121.3
5/1/1989,121.4
6/1/1989,121.1
7/1/1989,120.2
8/1/1989,121.4
9/1/1989,121.3
10/1/1989,121.5
11/1/1989,122.1
12/1/1989,120.9
1/1/1990,122.5
2/1/1990,122.3
3/1/1990,124.4
4/1/1990,123
5/1/1990,122.8
6/1/1990,122.7
7/1/1990,122.5
8/1/1990,123.1
9/1/1990,122.8
10/1/1990,123.6
11/1/1990,123.9
12/1/1990,123.7
1/1/1991,121.5
2/1/1991,121.9
3/1/1991,121.2
4/1/1991,122.4
5/1/1991,123
6/1/1991,122
7/1/1991,122.4
8/1/1991,122.5
9/1/1991,122
10/1/1991,121.7
11/1/1991,121.3
12/1/1991,122.2
1/1/1992,123.9
2/1/1992,123.8
3/1/1992,123
4/1/1992,124.9
5/1/1992,124.2
6/1/1992,124.7
7/1/1992,126.4
8/1/1992,126.5
9/1/1992,126.4
10/1/1992,126.4
11/1/1992,126.2
12/1/1992,127.4
1/1/1993,128.9
2/1/1993,130.1
3/1/1993,131
4/1/1993,131.2
5/1/1993,131.1
6/1/1993,133.3
7/1/1993,133.4
8/1/1993,132.7
9/1/1993,133.6
10/1/1993,133.9
11/1/1993,134.8
12/1/1993,136.5
1/1/1994,135.7
2/1/1994,135.9
3/1/1994,138.7
4/1/1994,140
5/1/1994,139.6
6/1/1994,140.7
7/1/1994,140.7
8/1/1994,141.3
9/1/1994,142.2
10/1/1994,141.6
11/1/1994,143.4
12/1/1994,142.6
1/1/1995,144.1
2/1/1995,142.5
3/1/1995,141.9
4/1/1995,141.6
5/1/1995,141.2
6/1/1995,143.1
7/1/1995,142.6
8/1/1995,143.7
9/1/1995,144.1
10/1/1995,144.3
11/1/1995,142.9
12/1/1995,143.6
1/1/1996,144.2
2/1/1996,146.1
3/1/1996,147.4
4/1/1996,145.1
5/1/1996,148.5
6/1/1996,150.2
7/1/1996,150.8
8/1/1996,152.5
9/1/1996,150.7
10/1/1996,154.3
11/1/1996,154.5
12/1/1996,154.7
